"state_name","Date","race_grp","pop_12","project","vaccinated_pct_12_out","state","state_code"
"Alabama",2021-03-01,"Asian",54881.5259371982,,"21.88","AL","01"
"Alabama",2021-03-15,"Asian",54881.5259371982,,"28.89","AL","01"
"Alabama",2021-03-29,"Asian",54881.5259371982,,"37.68","AL","01"
"Alabama",2021-04-05,"Asian",54881.5259371982,,"43.08","AL","01"
"Alabama",2021-04-12,"Asian",54881.5259371982,,"47.48","AL","01"
"Alabama",2021-04-19,"Asian",54881.5259371982,,"51.22","AL","01"
"Alabama",2021-04-26,"Asian",54881.5259371982,,"54.06","AL","01"
"Alabama",2021-05-03,"Asian",54881.5259371982,,"55.93","AL","01"
"Alabama",2021-05-10,"Asian",54881.5259371982,,"58.62","AL","01"
"Alabama",2021-05-17,"Asian",54881.5259371982,,"60.11","AL","01"
"Alabama",2021-05-24,"Asian",54881.5259371982,,"61.25","AL","01"
"Alabama",2021-06-07,"Asian",54881.5259371982,,"63.43","AL","01"
"Alabama",2021-06-14,"Asian",54881.5259371982,,"64.93","AL","01"
"Alabama",2021-06-21,"Asian",54881.5259371982,,"67.62","AL","01"
"Alabama",2021-06-28,"Asian",54881.5259371982,,"70.1","AL","01"
"Alabama",2021-07-06,"Asian",54881.5259371982,,"72.71","AL","01"
"Alabama",2021-07-19,"Asian",54881.5259371982,,"76.47","AL","01"
"Alabama",2021-08-02,"Asian",54881.5259371982,,"79.94","AL","01"
"Alabama",2021-08-16,"Asian",54881.5259371982,,"82.9","AL","01"
"Alabama",2021-03-01,"Black",1059848.7415765,,"10.76","AL","01"
"Alabama",2021-03-15,"Black",1059848.7415765,,"15.71","AL","01"
"Alabama",2021-03-29,"Black",1059848.7415765,,"20.48","AL","01"
"Alabama",2021-04-05,"Black",1059848.7415765,,"25.66","AL","01"
"Alabama",2021-04-12,"Black",1059848.7415765,,"29.5","AL","01"
"Alabama",2021-04-19,"Black",1059848.7415765,,"31.83","AL","01"
"Alabama",2021-04-26,"Black",1059848.7415765,,"33.59","AL","01"
"Alabama",2021-05-03,"Black",1059848.7415765,,"34.75","AL","01"
"Alabama",2021-05-10,"Black",1059848.7415765,,"37.49","AL","01"
"Alabama",2021-05-17,"Black",1059848.7415765,,"38.44","AL","01"
"Alabama",2021-05-24,"Black",1059848.7415765,,"39.07","AL","01"
"Alabama",2021-06-07,"Black",1059848.7415765,,"40.57","AL","01"
"Alabama",2021-06-14,"Black",1059848.7415765,,"41.53","AL","01"
"Alabama",2021-06-21,"Black",1059848.7415765,,"45.09","AL","01"
"Alabama",2021-06-28,"Black",1059848.7415765,,"45.9","AL","01"
"Alabama",2021-07-06,"Black",1059848.7415765,,"46.61","AL","01"
"Alabama",2021-07-19,"Black",1059848.7415765,,"48.25","AL","01"
"Alabama",2021-08-02,"Black",1059848.7415765,,"50.93","AL","01"
"Alabama",2021-08-16,"Black",1059848.7415765,,"55.61","AL","01"
"Alabama",2021-03-01,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-03-15,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-03-29,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-04-05,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-04-12,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-04-19,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-04-26,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-05-03,"Hispanic",157801,,"NR","AL","01"
"Alabama",2021-05-10,"Hispanic",157801,,"50.24","AL","01"
"Alabama",2021-05-17,"Hispanic",157801,,"51.52","AL","01"
"Alabama",2021-05-24,"Hispanic",157801,,"52.91","AL","01"
"Alabama",2021-06-07,"Hispanic",157801,,"53.8","AL","01"
"Alabama",2021-06-14,"Hispanic",157801,,"55.07","AL","01"
"Alabama",2021-06-21,"Hispanic",157801,,"58.01","AL","01"
"Alabama",2021-06-28,"Hispanic",157801,,"59.06","AL","01"
"Alabama",2021-07-06,"Hispanic",157801,,"59.98","AL","01"
"Alabama",2021-07-19,"Hispanic",157801,,"61.43","AL","01"
"Alabama",2021-08-02,"Hispanic",157801,,"64.84","AL","01"
"Alabama",2021-08-16,"Hispanic",157801,,"83.29","AL","01"
"Alabama",2021-03-01,"White",2732135.0307545,,"17.36","AL","01"
"Alabama",2021-03-15,"White",2732135.0307545,,"22.06","AL","01"
"Alabama",2021-03-29,"White",2732135.0307545,,"28.76","AL","01"
"Alabama",2021-04-05,"White",2732135.0307545,,"31.15","AL","01"
"Alabama",2021-04-12,"White",2732135.0307545,,"34.33","AL","01"
"Alabama",2021-04-19,"White",2732135.0307545,,"36.53","AL","01"
